watchlist_type,watchlist_name,exchange_code,stock_symbol
Stocks in Index,S&P 500 stocks,,TPR
Stocks in Index,S&P 500 stocks,,FFIV
Stocks in Index,S&P 500 stocks,,HRL
Stocks in Index,S&P 500 stocks,,BF.B
Stocks in Index,S&P 500 stocks,,CLX
Stocks in Index,S&P 500 stocks,,PNR
Stocks in Index,S&P 500 stocks,,COO
Stocks in Index,S&P 500 stocks,,LNT
Stocks in Index,S&P 500 stocks,,NWSA
Stocks in Index,S&P 500 stocks,,EXPD
Stocks in Index,S&P 500 stocks,,BAX
Stocks in Index,S&P 500 stocks,,J
Stocks in Index,S&P 500 stocks,,EVRG
Stocks in Index,S&P 500 stocks,,WST
Stocks in Index,S&P 500 stocks,,BBY
Stocks in Index,S&P 500 stocks,,BALL
Stocks in Index,S&P 500 stocks,,ZBRA
Stocks in Index,S&P 500 stocks,,PAYC
Stocks in Index,S&P 500 stocks,,APTV
Stocks in Index,S&P 500 stocks,,CF
Stocks in Index,S&P 500 stocks,,EG
Stocks in Index,S&P 500 stocks,,OMC
Stocks in Index,S&P 500 stocks,,UDR
Stocks in Index,S&P 500 stocks,,AVY
Stocks in Index,S&P 500 stocks,,KIM
Stocks in Index,S&P 500 stocks,,JBHT
Stocks in Index,S&P 500 stocks,,IEX
Stocks in Index,S&P 500 stocks,,MAS
Stocks in Index,S&P 500 stocks,,TXT
Stocks in Index,S&P 500 stocks,,JKHY
Stocks in Index,S&P 500 stocks,,REG
Stocks in Index,S&P 500 stocks,,CPT
Stocks in Index,S&P 500 stocks,,TER
Stocks in Index,S&P 500 stocks,,SOLV
Stocks in Index,S&P 500 stocks,,ALGN
Stocks in Index,S&P 500 stocks,,INCY
Stocks in Index,S&P 500 stocks,,ALLE
Stocks in Index,S&P 500 stocks,,HOLX
Stocks in Index,S&P 500 stocks,,BLDR
Stocks in Index,S&P 500 stocks,,UHS
Stocks in Index,S&P 500 stocks,,JNPR
Stocks in Index,S&P 500 stocks,,SJM
Stocks in Index,S&P 500 stocks,,DOC
Stocks in Index,S&P 500 stocks,,ARE
Stocks in Index,S&P 500 stocks,,CHRW
Stocks in Index,S&P 500 stocks,,BXP
Stocks in Index,S&P 500 stocks,,POOL
Stocks in Index,S&P 500 stocks,,BEN
Stocks in Index,S&P 500 stocks,,AKAM
Stocks in Index,S&P 500 stocks,,NDSN
Stocks in Index,S&P 500 stocks,,MOS
Stocks in Index,S&P 500 stocks,,TAP
Stocks in Index,S&P 500 stocks,,PNW
Stocks in Index,S&P 500 stocks,,RVTY
Stocks in Index,S&P 500 stocks,,CAG
Stocks in Index,S&P 500 stocks,,SWKS
Stocks in Index,S&P 500 stocks,,DVA
Stocks in Index,S&P 500 stocks,,LKQ
Stocks in Index,S&P 500 stocks,,BG
Stocks in Index,S&P 500 stocks,,HST
Stocks in Index,S&P 500 stocks,,MRNA
Stocks in Index,S&P 500 stocks,,SWK
Stocks in Index,S&P 500 stocks,,EPAM
Stocks in Index,S&P 500 stocks,,CPB
Stocks in Index,S&P 500 stocks,,VTRS
Stocks in Index,S&P 500 stocks,,GL
Stocks in Index,S&P 500 stocks,,AIZ
Stocks in Index,S&P 500 stocks,,WBA
Stocks in Index,S&P 500 stocks,,KMX
Stocks in Index,S&P 500 stocks,,AOS
Stocks in Index,S&P 500 stocks,,WYNN
Stocks in Index,S&P 500 stocks,,EMN
Stocks in Index,S&P 500 stocks,,DAY
Stocks in Index,S&P 500 stocks,,HAS
Stocks in Index,S&P 500 stocks,,IPG
Stocks in Index,S&P 500 stocks,,HII
Stocks in Index,S&P 500 stocks,,HSIC
Stocks in Index,S&P 500 stocks,,MGM
Stocks in Index,S&P 500 stocks,,FRT
Stocks in Index,S&P 500 stocks,,MKTX
Stocks in Index,S&P 500 stocks,,PARA
Stocks in Index,S&P 500 stocks,,NCLH
Stocks in Index,S&P 500 stocks,,TECH
Stocks in Index,S&P 500 stocks,,GNRC
Stocks in Index,S&P 500 stocks,,MTCH
Stocks in Index,S&P 500 stocks,,LW
Stocks in Index,S&P 500 stocks,,AES
Stocks in Index,S&P 500 stocks,,ALB
Stocks in Index,S&P 500 stocks,,CRL
Stocks in Index,S&P 500 stocks,,IVZ
Stocks in Index,S&P 500 stocks,,MHK
Stocks in Index,S&P 500 stocks,,APA
Stocks in Index,S&P 500 stocks,,CZR
Stocks in Index,S&P 500 stocks,,ENPH
